4	11	30	29	99	15	21	120	15	0	4	36	46	29	9	18	0	46	57	60	9	3	34	1	16	22
24	1	0	12	16	1	4	1	5	0	0	4	4	4	12	0	0	7	11	9	6	0	0	0	8	0
29	0	4	5	38	2	1	1	46	0	0	2	1	20	10	0	0	15	14	9	15	0	0	2	6	0
28	0	0	14	76	1	2	2	29	0	0	23	0	103	17	0	0	21	10	8	9	0	2	0	6	0
0	43	32	39	43	17	29	265	15	2	49	67	67	52	9	37	0	114	64	67	5	67	35	0	10	2
10	0	0	5	25	11	3	1	20	0	1	12	1	6	57	0	0	7	11	6	1	0	1	0	5	0
18	0	0	5	17	1	42	0	57	0	0	2	1	110	8	0	0	11	4	4	17	0	0	0	3	0
8	0	35	16	30	7	36	6	4	0	2	6	2	16	20	7	0	16	82	266	4	0	43	0	11	0
30	5	10	40	37	20	67	117	0	0	14	80	22	27	13	25	0	61	60	72	9	9	35	2	14	0
0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
21	0	28	1	4	0	0	0	11	0	0	5	0	9	9	0	0	4	4	1	3	0	0	0	0	0
59	17	11	9	74	10	6	2	31	0	2	67	1	9	32	14	0	22	12	27	30	0	1	0	5	0
21	0	0	8	41	4	4	3	36	0	1	5	4	7	53	1	0	12	13	17	9	0	1	0	7	0
154	0	0	11	96	0	4	1	222	0	10	1	3	7	100	0	0	16	13	6	23	0	11	0	6	0
1	17	45	58	28	34	30	43	23	2	3	36	26	67	41	17	0	45	49	113	1	2	26	0	90	0
17	0	0	4	27	2	2	1	5	0	1	5	11	4	19	10	0	6	25	6	13	0	0	3	4	0
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
71	5	5	9	193	16	9	7	33	0	0	3	22	4	81	18	0	12	5	24	37	0	3	0	3	0
66	1	1	20	109	5	9	4	75	0	5	15	8	71	22	4	0	58	40	45	37	0	5	0	19	0
103	0	14	28	85	20	16	27	100	0	4	14	6	107	64	7	0	37	94	58	48	0	4	2	19	0
10	19	6	5	3	8	7	6	0	3	0	4	8	3	147	7	9	8	16	13	0	0	0	0	0	0
21	0	0	1	17	0	0	0	16	0	0	1	0	2	13	0	0	3	1	0	1	0	0	0	0	0
11	0	0	7	33	2	5	2	5	0	0	7	2	8	54	0	0	9	20	21	5	0	2	0	10	0
1	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	12	1	20	27	7	2	6	0	0	3	46	13	15	8	2	0	26	9	21	2	0	2	0	4	0
0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
